City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Baculin,PH,77.99,heavy intensity rain,7.4525,126.5842,Shovy's Cove
191,Srednekolymsk,RU,72.45,clear sky,67.45,153.6833,
192,Sosnovskoye,RU,72.34,light rain,55.8052,43.167,Gostinitsa Mup Zhkkh
194,Bangui,CF,73.58,mist,4.3612,18.555,SAM HOTEL
195,Sao Gabriel Da Cachoeira,BR,72.0,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
197,Totness,SR,78.55,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
199,Jacareacanga,BR,82.38,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
200,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
201,Ulagan,RU,70.23,broken clouds,50.6321,87.9563,Gostevoy Dom
202,Saint George,US,97.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
203,Morgan City,US,82.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
204,Roma,US,73.54,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
205,Tabas,IR,89.6,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
206,Zyryanka,RU,73.17,clear sky,65.75,150.85,
207,Atambua,ID,83.55,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
208,Katsuura,JP,89.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
209,Japura,ID,90.54,broken clouds,-0.3167,102.35,Rumah mbah Jamah
210,Juybar,IR,78.96,clear sky,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
211,Thai Nguyen,VN,87.58,light rain,21.5928,105.8442,Đông Dương Hotel
212,Salalah,OM,77.09,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
214,Karratha,AU,77.92,clear sky,-20.7377,116.8463,ibis Styles Karratha
217,Ust-Kuyga,RU,82.53,broken clouds,70.0167,135.6,
221,Guthrie,US,87.69,overcast clouds,35.8789,-97.4253,"Holiday Inn Express & Suites Guthrie North Edmond, an IHG Hotel"
222,Faanui,PF,79.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
223,San Ramon,US,78.28,smoke,37.7799,-121.978,San Ramon Marriott
225,Puerto Maldonado,PE,75.97,broken clouds,-12.6,-69.1833,Wasai Hotel
227,Boguchany,RU,74.68,broken clouds,58.3814,97.4531,Uyut
230,Abu Samrah,SY,75.25,clear sky,35.3029,37.1841,
233,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
235,West Fargo,US,77.0,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
236,Pemba,MZ,69.1,clear sky,-12.974,40.5178,Guesthouse Samotina
237,Talnakh,RU,70.75,scattered clouds,69.4865,88.3972,Talnakh Hotel
238,Kiunga,PG,78.76,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
239,Samarai,PG,79.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
240,Baruun-Urt,MN,69.76,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
241,Mokhsogollokh,RU,74.03,overcast clouds,61.4681,128.9203,
242,Chokurdakh,RU,73.69,broken clouds,70.6333,147.9167,
243,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
244,Amapa,BR,70.18,broken clouds,1.0,-52.0,
246,Champerico,GT,81.03,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
247,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
250,Kokopo,PG,85.44,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
252,Machico,PT,70.0,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
253,Cockburn Town,TC,82.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
255,Kavaratti,IN,79.32,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
256,Liku,ID,86.04,broken clouds,-0.7275,119.8922,Wahyu
263,Robertsport,LR,78.69,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
265,Zyryanskoye,RU,72.75,broken clouds,56.8306,86.6258,
